CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Allapalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2639900,77.1498900
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Belladi BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2655930,76.9757110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chikkarampalayam BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2486170,76.9823110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Mangalakaraipudur BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2595650,76.9310030
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Annurmettupalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2619300,77.1189910
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Nagammapudur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2395860,77.1187910
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Nallichettipalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2367530,77.0711550
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pilliappampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.1886500,77.0764430
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadakkalur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2731460,77.0962170
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kariampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2063120,77.0777920
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Paralipower House BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2478920,76.7668950
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kanjapalli BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2378980,77.1402770
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Komarapalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2186700,77.0990780
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pasuravanashi BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2810040,77.1204410
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Athappagoundenpudur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0323999,77.0744366
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chinthamanipudur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0083983,77.0744616
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Odderpalayam BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,10.9971150,77.0824616
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kuppanur BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2791730,77.0712310
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Odderpalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2422470,77.0920980
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Sokkampalayam BO,641653,BO,Delivery,COIMBATORE,TAMIL NADU,11.2152390,77.1217380
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kamatchipuram BO,641103,BO,Non Delivery,COIMBATORE,TAMIL NADU,11.0040533,77.0628883
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Ravathur BO,641103,BO,Delivery,COIMBATORE,TAMIL NADU,11.0255733,77.0972450
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kadampadi BO,641401,BO,Delivery,COIMBATORE,TAMIL NADU,11.0359660,77.1642530
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Marudur BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2410260,76.9220770
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pillurdam BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2650590,76.8149600
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Purandampalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8658550,77.1711400
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadambachery BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4449000,77.7110000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chandrapuram BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,12.5105970,78.4783900
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Komarapalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4466640,77.6943350
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Malayadipalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,11.4582280,77.7712080
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Puliamarathupalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.7447930,77.4261910
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Eripatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6624000,77.0823000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Poosaripatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.5280000,77.6500000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Seelakkampatti B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6578000,77.1230000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,A.Nagore B.O,642205,BO,Delivery,COIMBATORE,TAMIL NADU,10.6806000,77.1126000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Senjeri BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8505510,77.1950880
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Velappanaickenpalayam BO,641669,BO,Delivery,COIMBATORE,TAMIL NADU,10.8878890,77.1584840
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Chennappachettipudur BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1644650,77.1129110
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vaharayampalayam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1446380,77.1341120
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Palapatti BO,641305,BO,Delivery,COIMBATORE,TAMIL NADU,11.3315960,76.9601760
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Karegoundenpalayam BO,641697,BO,Delivery,COIMBATORE,TAMIL NADU,11.2161540,77.0704680
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Muduthurai BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3537980,77.1306930
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Bhujanganur BO,641113,BO,Delivery,COIMBATORE,TAMIL NADU,11.2240890,76.8811070
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Akkaraisengapalli BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3261260,77.0817850
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Ichipatti BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.0579160,77.1918040
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kalingal BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,10.9910950,77.1364616
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Muthugoundenpudur BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,11.0503850,77.1180760
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Marappagoundenpudur B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.5921000,76.5699000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Chinnappampalayam B.O,642104,BO,Delivery,COIMBATORE,TAMIL NADU,10.6550000,77.0363000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Cinchona East B.O,642106,BO,Delivery,COIMBATORE,TAMIL NADU,10.6125500,76.9465000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Periya Kallar B.O,642106,BO,Delivery,COIMBATORE,TAMIL NADU,10.6125500,76.9465000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Dasanaicken Palayam B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8312000,77.1571000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Mohavanur B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.7942000,77.1974000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Palarpathy B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,9.9392000,77.4006000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Singarampalayam B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.8021000,77.0096000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Alagirichettipalayam B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.7379000,76.9758000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Achipatti B.O,642002,BO,Delivery,COIMBATORE,TAMIL NADU,10.6570000,77.0110000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kurumbapalayam B.O,642002,BO,Delivery,COIMBATORE,TAMIL NADU,10.6460000,77.0050000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Palanigoundenpudur B.O,642002,BO,Delivery,COIMBATORE,TAMIL NADU,10.6570000,77.0110000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Puliampatti B.O,642002,BO,Delivery,COIMBATORE,TAMIL NADU,10.6460000,77.0050000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Nallamudi B.O,642117,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572827,77.0106603
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Vadugapalayam B.O,642001,BO,Non Delivery,COIMBATORE,TAMIL NADU,10.6711000,76.9945000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Chinna Negamam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7339000,77.1187000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Devenampalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7691000,77.0759000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kakkadavoo B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7422000,77.0605000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kappalankarai B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7740000,77.0945000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Thondamuthur B.O,642123,BO,Delivery,COIMBATORE,TAMIL NADU,10.9750000,76.8630000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Murugali Bazaar B.O,642125,BO,Delivery,COIMBATORE,TAMIL NADU,10.6377500,77.0395500
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Sheikalmudi B.O,642125,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572847,77.0106583
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Akilandapuram B.O,642004,BO,Delivery,COIMBATORE,TAMIL NADU,8.9340000,77.9970000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Karuppampalayam B.O,642004,BO,Delivery,COIMBATORE,TAMIL NADU,10.6410000,76.9800000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Korangumudi B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572847,77.0106583
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Manamboli B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572827,77.0106603
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Nirar Dam B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.3431000,76.9930200
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Old Valparai B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.3431000,76.9930200
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Thimmankothu B.O,642005,BO,Delivery,COIMBATORE,TAMIL NADU,10.6530000,76.9239000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Thippampatti B.O,642107,BO,Delivery,COIMBATORE,TAMIL NADU,10.6503000,77.0757000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kadamparai Power House B.O,642101,BO,Delivery,COIMBATORE,TAMIL NADU,10.4341687,77.0043374
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Minparai B.O,642101,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572817,77.0106613
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Navamalai Camp B.O,642101,BO,Delivery,COIMBATORE,TAMIL NADU,10.4560849,77.0053319
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Upper Aliyar Dam B.O,642101,BO,Delivery,COIMBATORE,TAMIL NADU,10.6220000,76.9753500
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Athu Pollachi B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.6465000,76.9244000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Divansapudur B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.6294000,76.8714000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Ganapathipalayam B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.6221000,76.8405000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kaniyurpalladam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.0967450,77.1564280
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Thathur B.O,642104,BO,Delivery,COIMBATORE,TAMIL NADU,10.6009000,76.9295000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Vellamalai B.O,642130,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572837,77.0106593
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Vadakkipalayam B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.7390000,76.9852000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kanjampatti B.O,642003,BO,Delivery,COIMBATORE,TAMIL NADU,10.6273000,77.0788000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Unjavelampatti B.O,642003,BO,Delivery,COIMBATORE,TAMIL NADU,10.6625000,77.0521000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Vellalapalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.6957000,77.0611000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Mettubavi B.O,641202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8400000,77.1205000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Urulikkal B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572827,77.0106603
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Odayakulam B.O,642129,BO,Delivery,COIMBATORE,TAMIL NADU,10.5611667,76.9179105
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Mannur B.O,642005,BO,Delivery,COIMBATORE,TAMIL NADU,10.6902000,76.9074000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Reddiarur B.O,642007,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572827,77.0106603
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kolarpatti B.O,642107,BO,Delivery,COIMBATORE,TAMIL NADU,10.6267000,77.1115000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Lakshmapuram B.O,642107,BO,Delivery,COIMBATORE,TAMIL NADU,10.5950000,77.1294000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Moperipalayam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1341670,77.1456140
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Dasanur BO,641305,BO,Delivery,COIMBATORE,TAMIL NADU,11.2966440,76.9255100
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kallar BO,641305,BO,Delivery,COIMBATORE,TAMIL NADU,11.3391490,76.8777780
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Ellapalayam BO,641697,BO,Delivery,COIMBATORE,TAMIL NADU,11.1962410,77.0581090
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Therampalayam BO,641697,BO,Delivery,COIMBATORE,TAMIL NADU,11.2746720,76.9989810
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Ambodi BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3196180,77.1240930
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Thekkampatti BO,641113,BO,Delivery,COIMBATORE,TAMIL NADU,11.2609390,76.8801910
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Tholampalayam BO,641113,BO,Delivery,COIMBATORE,TAMIL NADU,11.1833480,76.8348730
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vivekanandapuram BO,641113,BO,Delivery,COIMBATORE,TAMIL NADU,11.2451460,76.8795040
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Bellaipalayam BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.2947120,77.0206730
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Athikadavu BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2121870,76.7552220
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Giddampalayam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1461830,77.1588320
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kaduvettipalayam BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1872770,77.1423610
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Pethikuttai BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3761520,77.0738540
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Jadayampalayam BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.2966440,76.9797550
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Sinnakallipatti BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3897320,77.1055160
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Thimmanur BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3321200,77.0673150
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Karavalimadapur BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.0683980,77.1594030
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Semmandampalayam BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.1086090,77.2209640
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Appanaickenpatti BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,10.9749010,77.1564230
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Rasipalayam BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,11.0613140,77.1324040
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Illuppapalayam BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3377760,76.9986280
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Subbarayanpudur BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.0993390,77.2130670
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Periapodu B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.6099000,76.8807000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kattampatti B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8072000,77.1442000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Moongiltholuvu B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.7640000,77.2129000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Arasampalayam B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.0579000,77.5207000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Muthur B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.8052000,77.0526000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Solavampalayam B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.8377000,77.0259000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Devarayapuram B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.9991000,76.8173000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kaliapuram B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.5400000,76.9211000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Poravipalayam B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.0973000,76.9386000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,T.Kottampatti B.O,642002,BO,Non Delivery,COIMBATORE,TAMIL NADU,10.6690000,77.0190000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Pollachi West B.O,642001,BO,Delivery,COIMBATORE,TAMIL NADU,10.6547000,77.0046000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Andipalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7368000,77.0982000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kondegoundenpalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7236000,77.1088000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Senguttaipalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7112000,77.0556000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Zamin Kottampatti B.O,642123,BO,Delivery,COIMBATORE,TAMIL NADU,10.5910000,77.0140000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Topslip B.O,642133,BO,Delivery,COIMBATORE,TAMIL NADU,10.6472000,76.9625500
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Pethanaickanur B.O,642134,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572877,77.0106553
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kurunallipalayam B.O,641202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8150000,77.0839000
